Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,12pF,
C10,0603,1,4.7nF,
"C11, C18, C2, C20, C22, C23, C27, C30, C31, C33, C37, C8, C9",0603,13,100nF,
"C12, C6",0603,2,1uF,
C13,0603,1,47pF,
"C14, C15, C16",0805,3,22uF,
"C17, C19, C21, C29, C32",0603,5,10uF,
"C24, C25, C26, C28",CP_Elec_4x5.4,4,100nF,
"C34, C35, C36",CP_Elec_6.3x5.4,3,22uF,
"C4, C5, C7",0805,3,2.2uF,
D1,D_SMC,1,B560C,
D2,0603,1,LED_{Green},
J4,BM08B-GHS-TBT(LF)(SN)(N),1,BM08B-GHS-TBT(LF)(SN),
L1,SPM7054VT-100M-D,1,10uH,
"R1, R11, R2",0603,3,10K,
R10,0603,1,16.9K,
R12,0603,1,53.6K,
R13,0603,1,10.2K,
"R14, R3, R4, R5",0603,4,0R,
R6,0603,1,442K,
R7,0603,1,90.9K,
R8,0603,1,100K,
R9,0603,1,243K,
RST,TS-1088-AR02016,1,TS-1088-AR02016,
STATE,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
SWD,Pinheader_2x04_P2.54mm,1,SWD,
U1,UFQFPN32-5.3x5.3_P0.5,1,STM32G431KBUx,
U2,SOIC8-4.9x5.4_P1.27,1,TPS54560DDAR,
U3,SOT-23-5,1,RT9013-33GB,
U4,SOT223,1,AMS1117-5.0,
U5,SOIC16-4.95x8.9_P1.27,1,MAX3232ESE+T,
U6,SOIC8-4.9x5.4_P1.27_NO_EP,1,ISO7720D,
Y1,SMD3225,1,X32258MOB4SI,
"相机电源, 雷达电源",XLB16PW-M,2,XLB16PW-M,
雷达接口,PinHeader_1x04_P2.54mm_Vertical,1,Pinheader_4P,
